Nokta,Pole,Slot,SlotType,MagThk_mm,Embrace,Magnet,AirgapFlux_T,Cogging_Nm,Efficiency_%,Torque_Nm,Durum
1,8,12,3,7.26,0.887,NdFe35,0.170619,0.184267,94.9558,0.788687,OK
2,16,24,1,4.06,0.623,SmCo28,0.725048,6.8469,84.1225,5.355,OK
3,10,12,1,7.74,0.635,SmCo28,0.220748,0.0896852,90.0711,0.477414,OK
4,8,12,1,4.22,0.516,Alnico9,0.127311,0.103512,96.8749,0.479269,OK
5,4,12,2,5.3,0.781,NdFe35,0.141334,0.126583,96.9727,0.6011,OK
6,14,12,2,4.66,0.764,SmCo28,,,,,OKUMA_HATA
7,16,24,1,4.18,0.829,Alnico9,0.122753,0.298125,95.3904,1.2347,OK
8,16,24,2,7.61,0.791,SmCo28,0.326513,1.98144,89.797,2.79517,OK
9,10,12,1,4.79,0.523,SmCo28,0.495008,0.396924,87.1386,0.969077,OK
10,14,12,3,6.56,0.572,Alnico9,,,,,OKUMA_HATA
11,10,12,1,4.66,0.624,NdFe35,0.456426,0.467457,85.1253,0.981305,OK
12,16,24,3,6.4,0.764,SmCo28,0.488588,4.24896,87.4525,4.09193,OK
13,4,12,2,7.71,0.815,Alnico9,0.045728,0.0130752,0.386486,4.37831,OK
14,10,12,2,5.74,0.82,NdFe35,0.354562,0.128256,82.4961,0.885993,OK
15,8,12,3,4.01,0.641,NdFe35,0.389563,0.669359,91.4388,1.48185,OK
16,4,12,1,6.02,0.757,SmCo28,0.121976,0.093841,97.2841,0.508008,OK
17,8,12,2,6.98,0.782,NdFe35,0.206329,0.265273,93.8557,0.873341,OK
18,16,24,2,4.51,0.633,Alnico9,0.124473,0.167074,94.8066,1.06658,OK
19,10,12,1,7.7,0.873,SmCo28,0.17854,0.0653146,88.4846,0.451902,OK
20,4,12,1,5.14,0.603,Alnico9,0.112635,0.0802682,0.449808,5.25555,OK
21,16,24,1,7.14,0.64,NdFe35,0.459482,1.72903,87.6966,3.46202,OK
22,16,24,2,6.51,0.754,NdFe35,0.496582,4.25224,86.5766,4.11334,OK
23,16,24,1,6.28,0.819,NdFe35,0.499937,4.82263,87.7558,4.37804,OK
24,14,12,3,5.83,0.746,Alnico9,,,,,OKUMA_HATA
25,14,12,2,5.37,0.698,NdFe35,,,,,OKUMA_HATA
26,20,24,2,6.95,0.537,NdFe35,0.639075,1.60841,78.8076,2.50806,OK
27,8,12,1,5.65,0.565,NdFe35,0.331088,0.686515,92.6697,1.15485,OK
28,20,24,3,5.02,0.782,SmCo28,0.685512,2.38542,71.1858,3.35414,OK
29,20,24,3,7.86,0.87,Alnico9,0.132931,0.0716037,88.8526,0.747539,OK
30,10,12,2,5.15,0.525,Alnico9,0.130856,0.029124,94.82,0.297828,OK
31,4,12,3,5.92,0.895,SmCo28,0.12049,0.0916945,97.2803,0.562896,OK
32,10,12,1,4.07,0.737,Alnico9,0.126597,0.0407642,92.9661,0.345292,OK
33,16,24,2,7.68,0.646,SmCo28,0.362744,0.840759,88.6051,2.72495,OK
34,10,12,3,6.56,0.552,NdFe35,0.356132,0.287973,88.7327,0.713784,OK
35,4,12,1,4.55,0.826,SmCo28,0.152081,0.147295,96.953,0.674628,OK
36,10,12,1,6.48,0.545,SmCo28,0.349143,0.268154,89.0266,0.695873,OK
37,20,24,3,7.88,0.536,SmCo28,0.468124,0.816575,83.0431,1.83536,OK
38,16,24,3,5.5,0.558,Alnico9,0.128128,0.299897,95.3518,1.00521,OK
39,4,12,3,6.61,0.553,SmCo28,0.124194,0.0969925,96.7296,0.432488,OK
40,8,12,3,7.83,0.732,NdFe35,0.153354,0.138167,94.9732,0.621139,OK
41,4,12,1,7.53,0.848,Alnico9,0.0487769,0.0148892,0.418839,4.32942,OK
42,4,12,3,4.13,0.505,NdFe35,0.227912,0.33182,95.601,0.760088,OK
43,4,12,1,5.25,0.861,Alnico9,0.0914554,0.0530427,0.430733,5.37977,OK
44,20,24,2,6.61,0.753,Alnico9,0.130965,0.0975178,89.6691,0.711947,OK
45,20,24,3,4.48,0.757,NdFe35,0.760261,3.4717,70.3754,3.65502,OK
46,16,24,3,4.15,0.868,NdFe35,0.65551,8.48315,86.2737,5.99842,OK
47,4,12,3,4.94,0.575,SmCo28,0.175461,0.195518,96.3832,0.628825,OK
48,8,12,3,8.12,0.713,NdFe35,0.134052,0.0972856,95.3732,0.533335,OK
49,16,24,1,5.88,0.765,NdFe35,0.56017,5.63016,86.4434,4.68972,OK
50,10,12,3,7.72,0.726,NdFe35,0.206769,0.0978638,89.0296,0.481802,OK
51,4,12,1,6.33,0.881,NdFe35,0.111331,0.0780693,97.3561,0.513103,OK
52,8,12,1,5.28,0.707,Alnico9,0.129591,0.0896226,0.426347,20.037,OK
53,10,12,3,5.94,0.817,Alnico9,0.131529,0.0207817,91.6927,0.364444,OK
54,16,24,2,8.25,0.822,NdFe35,0.248157,1.17656,91.4483,2.17901,OK
55,16,24,3,5.81,0.836,NdFe35,0.550486,5.91363,87.1635,4.89069,OK
56,20,24,2,7.57,0.722,NdFe35,0.45587,1.01873,76.8771,2.11354,OK
57,16,24,3,6.87,0.892,SmCo28,0.393601,2.9574,89.9506,3.65564,OK
58,4,12,3,8.48,0.593,SmCo28,0.0532731,0.0176118,97.8582,0.190972,OK
59,14,12,2,4.08,0.622,NdFe35,,,,,OKUMA_HATA
60,4,12,3,8.49,0.686,NdFe35,0.0489351,0.0118703,98.3583,0.19033,OK
61,20,24,1,4.99,0.643,Alnico9,0.126545,0.0471125,92.0484,0.654823,OK
62,14,12,2,6.32,0.78,NdFe35,,,,,OKUMA_HATA
63,10,12,2,4.21,0.62,Alnico9,0.12752,0.0381069,93.9519,0.319534,OK
64,10,12,2,7.73,0.535,Alnico9,0.130453,0.0329064,94.5303,0.288481,OK
65,14,12,3,7.46,0.763,Alnico9,,,,,OKUMA_HATA
66,4,12,1,6.11,0.57,NdFe35,0.140904,0.125173,96.6404,0.496946,OK
67,8,12,2,6.5,0.604,Alnico9,0.131902,0.102551,0.392777,18.5442,OK
68,10,12,1,8.02,0.812,Alnico9,0.0951961,0.0125766,93.1049,0.258232,OK
69,4,12,1,4.9,0.645,Alnico9,0.111454,0.0675047,0.450799,5.46718,OK
70,4,12,1,5.11,0.716,NdFe35,0.149521,0.140301,96.9997,0.600376,OK
71,14,12,1,5.9,0.598,SmCo28,,,,,OKUMA_HATA
72,16,24,1,6.23,0.81,Alnico9,0.129784,0.322883,95.0746,1.25155,OK
73,20,24,2,6.8,0.898,Alnico9,0.131232,0.102455,88.4495,0.750186,OK
74,10,12,3,5.41,0.597,NdFe35,0.419188,0.433065,86.501,0.87864,OK
75,20,24,3,8.07,0.585,SmCo28,0.404313,0.915474,83.0255,1.66802,OK
76,20,24,2,6.03,0.758,SmCo28,0.624145,2.23425,71.8445,2.99077,OK
77,20,24,3,7.73,0.638,Alnico9,0.13314,0.0556611,91.5041,0.65735,OK
78,8,12,2,8.18,0.55,NdFe35,0.157362,0.15305,94.8615,0.537751,OK
79,20,24,1,6.47,0.536,Alnico9,0.130798,0.0671029,93.1666,0.605504,OK
80,14,12,2,6.58,0.539,Alnico9,,,,,OKUMA_HATA
81,16,24,2,7.93,0.702,NdFe35,0.318908,1.04121,89.3742,2.51719,OK
82,8,12,3,8.16,0.56,NdFe35,0.157024,0.151786,94.8671,0.542194,OK
83,10,12,2,7.08,0.673,NdFe35,0.280996,0.0380391,87.2324,0.627016,OK
84,8,12,1,4.92,0.826,Alnico9,0.127917,0.104049,96.2604,0.619723,OK
85,14,12,1,8.36,0.895,Alnico9,,,,,OKUMA_HATA
86,10,12,1,4.71,0.663,NdFe35,0.437258,0.0600076,84.5432,0.972009,OK
87,8,12,3,6.9,0.677,Alnico9,0.125558,0.0323139,0.460419,16.8998,OK
88,8,12,2,5.12,0.747,NdFe35,0.316955,0.620924,92.0344,1.303,OK
89,14,12,1,6.23,0.8,Alnico9,,,,,OKUMA_HATA
90,16,24,1,4.5,0.567,NdFe35,0.759007,10.5015,84.8156,5.30259,OK
91,10,12,1,4.81,0.697,SmCo28,0.407397,0.321174,84.4359,0.932835,OK
92,20,24,2,5.54,0.783,Alnico9,0.128223,0.0810699,89.531,0.720983,OK
93,14,12,3,5.98,0.85,Alnico9,,,,,OKUMA_HATA
94,10,12,1,7.4,0.855,Alnico9,0.119716,0.0207796,91.8353,0.331131,OK
95,14,12,3,8.43,0.727,NdFe35,,,,,OKUMA_HATA
96,8,12,2,5.07,0.709,SmCo28,0.311293,0.527069,92.0104,1.23819,OK
97,14,12,1,7.01,0.777,SmCo28,,,,,OKUMA_HATA
98,4,12,2,8.0,0.763,SmCo28,0.0620505,0.0240205,98.0282,0.259258,OK
99,14,12,3,7.87,0.852,Alnico9,,,,,OKUMA_HATA
100,4,12,1,5.65,0.506,SmCo28,0.169437,0.181612,96.1862,0.563205,OK
101,16,24,2,7.29,0.683,NdFe35,0.418182,0.935954,87.4359,3.24325,OK
102,8,12,2,6.36,0.547,SmCo28,0.284211,0.506199,93.2309,0.974104,OK
103,8,12,2,7.72,0.879,SmCo28,0.138644,0.121232,95.44,0.637119,OK
104,16,24,3,4.86,0.806,NdFe35,0.622815,7.50356,85.9656,5.41174,OK
105,8,12,3,7.07,0.568,NdFe35,0.24351,0.366364,93.6298,0.848276,OK
106,14,12,1,7.99,0.728,SmCo28,,,,,OKUMA_HATA
107,4,12,3,4.33,0.808,Alnico9,0.104973,0.0702699,97.7915,0.527197,OK
108,20,24,3,5.16,0.83,NdFe35,0.70947,0.13482,69.5547,3.55529,OK
109,4,12,1,8.13,0.755,Alnico9,0.037429,0.00872862,0.421674,3.69612,OK
110,20,24,1,7.41,0.814,SmCo28,0.433799,0.381097,76.5738,2.14577,OK
111,14,12,3,5.02,0.732,Alnico9,,,,,OKUMA_HATA
112,8,12,1,7.48,0.747,NdFe35,0.17688,0.189434,94.5549,0.725983,OK
113,20,24,1,6.88,0.883,NdFe35,0.50727,1.329,73.808,2.5611,OK
114,10,12,2,6.39,0.719,Alnico9,0.132626,0.040046,92.3566,0.343257,OK
115,10,12,3,7.36,0.694,SmCo28,0.243179,0.100405,88.4839,0.553091,OK
116,16,24,1,6.69,0.598,Alnico9,0.131095,0.267953,95.0105,1.05481,OK
117,16,24,1,4.31,0.856,Alnico9,0.123346,0.300956,95.4542,1.26163,OK
118,14,12,2,4.69,0.552,SmCo28,,,,,OKUMA_HATA
119,20,24,2,4.47,0.733,Alnico9,0.124411,0.0902829,90.5704,0.694204,OK
120,8,12,3,8.06,0.874,SmCo28,0.116477,0.0853741,95.9116,0.533699,OK
121,16,24,2,5.73,0.595,NdFe35,0.621788,6.23176,85.0994,4.43829,OK
122,10,12,1,5.45,0.681,SmCo28,0.377291,0.156523,85.4241,0.851473,OK
123,20,24,1,6.92,0.779,Alnico9,0.131591,0.0850424,89.7919,0.72299,OK
124,8,12,2,7.6,0.835,SmCo28,0.152054,0.144812,95.0197,0.674181,OK
125,14,12,3,7.14,0.819,Alnico9,,,,,OKUMA_HATA
126,20,24,1,4.62,0.627,Alnico9,0.125133,0.0703721,92.3791,0.646395,OK
127,10,12,2,4.39,0.874,SmCo28,0.415311,0.382804,80.4197,1.05746,OK
128,20,24,3,6.66,0.529,SmCo28,0.64309,1.35313,80.091,2.51074,OK
129,14,12,2,5.69,0.501,NdFe35,,,,,OKUMA_HATA
130,10,12,3,5.88,0.881,NdFe35,0.327238,0.24443,83.5627,0.82999,OK
131,8,12,3,4.59,0.784,Alnico9,0.127289,0.102908,96.177,0.599708,OK
132,8,12,2,8.31,0.853,SmCo28,0.101437,0.0644033,96.0781,0.456815,OK
133,20,24,1,6.19,0.672,Alnico9,0.130091,0.0103401,91.3563,0.671963,OK
134,14,12,2,5.49,0.777,SmCo28,,,,,OKUMA_HATA
135,16,24,3,5.31,0.578,NdFe35,0.671593,7.86897,85.4845,4.72944,OK
136,20,24,1,4.2,0.5,NdFe35,0.964699,0.00153934,76.6005,3.65393,OK
137,14,12,3,5.5,0.854,NdFe35,,,,,OKUMA_HATA
138,16,24,2,4.78,0.611,NdFe35,0.694732,7.08007,83.861,5.05876,OK
139,14,12,2,4.07,0.63,NdFe35,,,,,OKUMA_HATA
140,10,12,2,6.41,0.83,NdFe35,0.297447,0.0230372,84.0356,0.746068,OK
141,20,24,3,6.28,0.877,Alnico9,0.130119,0.0819673,89.0961,0.744985,OK
142,8,12,3,4.58,0.559,SmCo28,0.389516,0.961279,92.1335,1.34881,OK
143,14,12,2,4.75,0.679,Alnico9,,,,,OKUMA_HATA
144,10,12,2,6.77,0.56,SmCo28,0.322942,0.244192,88.7034,0.652803,OK
145,10,12,2,5.97,0.866,Alnico9,0.13135,0.0338896,91.0639,0.369216,OK
146,10,12,3,5.27,0.769,SmCo28,0.374841,0.342257,83.733,0.907257,OK
147,16,24,1,5.04,0.648,SmCo28,0.626117,2.53102,85.0716,4.73329,OK
148,10,12,2,4.83,0.621,SmCo28,0.434402,0.432475,85.0145,0.932911,OK
149,8,12,3,6.34,0.683,Alnico9,0.130843,0.0527588,0.462418,18.4282,OK
150,20,24,2,5.3,0.587,SmCo28,0.767577,3.52996,74.9136,3.20097,OK
151,20,24,1,7.91,0.549,Alnico9,0.133426,0.0822516,92.7984,0.613309,OK
152,20,24,2,8.48,0.728,NdFe35,0.302255,0.457051,81.3561,1.40561,OK
153,8,12,1,6.9,0.893,Alnico9,0.114847,0.0836457,96.5497,0.573439,OK
154,4,12,3,4.16,0.878,NdFe35,0.165282,0.17434,96.7899,0.764311,OK
155,14,12,2,6.57,0.502,Alnico9,,,,,OKUMA_HATA
156,10,12,3,7.45,0.609,NdFe35,0.263887,0.159973,89.4279,0.557304,OK
157,16,24,3,6.31,0.672,Alnico9,0.130153,0.0320084,94.602,1.12088,OK
158,10,12,2,8.32,0.766,Alnico9,0.0814814,0.0153196,93.8301,0.214376,OK
159,14,12,3,8.26,0.873,Alnico9,,,,,OKUMA_HATA
160,20,24,3,6.4,0.813,SmCo28,0.585437,0.766664,72.6382,2.90352,OK
161,14,12,2,6.76,0.755,Alnico9,,,,,OKUMA_HATA
162,4,12,2,6.94,0.611,NdFe35,0.110039,0.0752646,97.1894,0.401522,OK
163,20,24,1,8.38,0.667,Alnico9,0.132453,0.000466499,91.1512,0.665063,OK
164,8,12,2,6.43,0.84,Alnico9,0.124811,0.098229,96.1555,0.601349,OK
165,4,12,2,6.91,0.646,Alnico9,0.0739675,0.0284762,0.397268,4.91927,OK
166,10,12,1,6.44,0.549,NdFe35,0.366157,0.302356,88.5901,0.73157,OK
167,4,12,2,5.33,0.724,Alnico9,0.0983567,0.0609502,97.8405,0.451659,OK
168,4,12,1,5.48,0.836,SmCo28,0.132921,0.111851,97.1325,0.592741,OK
169,10,12,1,8.29,0.759,NdFe35,0.149477,0.051987,90.5846,0.356893,OK
170,10,12,3,5.58,0.649,SmCo28,0.3773,0.184905,86.1545,0.828967,OK
171,10,12,3,7.82,0.563,Alnico9,0.125509,0.0362127,94.5398,0.283451,OK
172,8,12,3,4.26,0.748,NdFe35,0.348863,0.760346,91.9478,1.43916,OK
173,10,12,2,5.8,0.69,NdFe35,0.371119,0.21897,84.6574,0.841598,OK
174,10,12,2,4.11,0.601,SmCo28,0.491992,0.610071,84.4995,1.04121,OK
175,14,12,3,5.35,0.887,Alnico9,,,,,OKUMA_HATA
176,4,12,3,4.57,0.795,NdFe35,0.156101,0.155204,96.8473,0.673534,OK
177,16,24,2,4.09,0.833,SmCo28,0.623093,7.69857,85.6769,5.55404,OK
178,20,24,3,5.26,0.59,SmCo28,0.769621,3.54104,75.9253,3.22008,OK
179,16,24,3,8.43,0.663,Alnico9,0.121096,0.0156019,94.7962,1.01848,OK
180,16,24,1,7.67,0.689,Alnico9,0.132543,0.123531,94.5837,1.14696,OK
181,10,12,3,4.22,0.784,SmCo28,0.419902,0.418566,82.3805,1.03063,OK
182,8,12,3,6.52,0.515,Alnico9,0.132832,0.110901,0.472331,17.5627,OK
183,8,12,3,8.43,0.854,SmCo28,0.0933533,0.0545304,96.2862,0.421185,OK
184,8,12,3,7.81,0.573,SmCo28,0.180297,0.198987,94.6414,0.631457,OK
185,10,12,1,5.9,0.863,SmCo28,0.325607,0.198028,83.6659,0.825477,OK
186,20,24,1,8.36,0.623,Alnico9,0.133439,0.0755006,91.7371,0.648518,OK
187,8,12,1,6.35,0.684,SmCo28,0.255651,0.210833,93.1491,0.991509,OK
188,20,24,3,5.35,0.759,Alnico9,0.127667,0.0950195,90.3154,0.707542,OK
189,16,24,3,5.8,0.669,NdFe35,0.585584,0.295893,85.4217,4.49257,OK
190,14,12,3,5.96,0.529,SmCo28,,,,,OKUMA_HATA
191,20,24,1,6.3,0.539,Alnico9,0.130412,0.0712193,93.1562,0.607078,OK
192,20,24,2,6.97,0.83,Alnico9,0.131637,0.00373086,88.7041,0.742235,OK
193,4,12,2,8.02,0.647,SmCo28,0.0682978,0.0234475,98.0324,0.264044,OK
194,10,12,2,6.31,0.802,SmCo28,0.307953,0.179536,84.1601,0.761153,OK
195,10,12,2,8.12,0.721,SmCo28,0.165227,0.0607548,90.0654,0.383611,OK
196,20,24,3,8.39,0.665,SmCo28,0.315677,0.0249812,83.2825,1.39884,OK
197,4,12,1,4.18,0.693,Alnico9,0.11398,0.0754894,97.7263,0.52643,OK
198,10,12,1,7.28,0.796,SmCo28,0.227294,0.103487,87.3995,0.558805,OK
199,4,12,1,8.21,0.618,NdFe35,0.0644575,0.0254122,97.898,0.237071,OK
200,20,24,2,5.64,0.553,Alnico9,0.128696,0.0858044,92.7719,0.615333,OK
201,20,24,2,8.2,0.858,Alnico9,0.131485,0.0503179,88.4507,0.737952,OK
202,8,12,2,6.13,0.588,Alnico9,0.131824,0.106115,0.395417,19.6613,OK
203,8,12,3,5.44,0.772,Alnico9,0.129411,0.105242,96.072,0.596465,OK
204,14,12,3,7.22,0.554,SmCo28,,,,,OKUMA_HATA
205,10,12,1,8.24,0.717,NdFe35,0.159747,0.0555589,90.6877,0.369403,OK
206,14,12,3,5.83,0.74,Alnico9,,,,,OKUMA_HATA
207,14,12,1,6.54,0.768,Alnico9,,,,,OKUMA_HATA
208,10,12,3,7.57,0.607,Alnico9,0.128899,0.0382789,93.9712,0.302381,OK
209,14,12,2,5.38,0.699,SmCo28,,,,,OKUMA_HATA
210,20,24,3,6.3,0.775,Alnico9,0.130263,0.0882503,89.8826,0.718364,OK
211,16,24,2,7.69,0.814,NdFe35,0.322094,1.97659,89.9809,2.80849,OK
212,20,24,1,7.03,0.513,Alnico9,0.131908,0.0268279,93.3705,0.591596,OK
213,20,24,1,7.28,0.577,Alnico9,0.13246,0.0999706,92.4947,0.627972,OK
214,20,24,1,6.59,0.533,NdFe35,0.687651,1.72521,79.2081,2.68993,OK
215,10,12,2,8.33,0.89,Alnico9,0.0759704,0.0131633,93.445,0.20954,OK
216,20,24,3,5.13,0.802,SmCo28,0.675544,1.61962,70.8862,3.34562,OK
217,8,12,3,5.57,0.699,Alnico9,0.130181,0.0821814,0.46523,19.5408,OK
218,4,12,3,7.5,0.58,NdFe35,0.0944678,0.0557962,97.1216,0.334781,OK
219,8,12,3,7.21,0.582,SmCo28,0.22182,0.300084,94.0063,0.784473,OK
220,10,12,1,4.19,0.821,Alnico9,0.126787,0.0163159,92.0798,0.363561,OK
221,10,12,3,4.29,0.681,NdFe35,0.454399,0.237439,83.8401,1.0268,OK
222,4,12,2,5.21,0.636,NdFe35,0.156609,0.14534,96.7639,0.585966,OK
