PS_10_12,PS_16_24,PS_20_24,PS_4_12,PS_8_12,Mag_Alnico9,Mag_NdFe35,Mag_SmCo28,ST_1,ST_2,ST_3,MagThk_mm,Embrace,AirgapFlux,Cogging,Efficiency,Torque
0,0,0,0,1,0,1,0,0,0,1,7.26,0.887,0.170619,0.184267,94.9558,0.788687
0,1,0,0,0,0,0,1,1,0,0,4.06,0.623,0.725048,6.8469,84.1225,5.355
1,0,0,0,0,0,0,1,1,0,0,7.74,0.635,0.220748,0.0896852,90.0711,0.477414
0,0,0,0,1,1,0,0,1,0,0,4.22,0.516,0.127311,0.103512,96.8749,0.479269
0,0,0,1,0,0,1,0,0,1,0,5.3,0.781,0.141334,0.126583,96.9727,0.6011
0,1,0,0,0,1,0,0,1,0,0,4.18,0.829,0.122753,0.298125,95.3904,1.2347
0,1,0,0,0,0,0,1,0,1,0,7.61,0.791,0.326513,1.98144,89.797,2.79517
1,0,0,0,0,0,0,1,1,0,0,4.79,0.523,0.495008,0.396924,87.1386,0.969077
1,0,0,0,0,0,1,0,1,0,0,4.66,0.624,0.456426,0.467457,85.1253,0.981305
0,1,0,0,0,0,0,1,0,0,1,6.4,0.764,0.488588,4.24896,87.4525,4.09193
1,0,0,0,0,0,1,0,0,1,0,5.74,0.82,0.354562,0.128256,82.4961,0.885993
0,0,0,0,1,0,1,0,0,0,1,4.01,0.641,0.389563,0.669359,91.4388,1.48185
0,0,0,1,0,0,0,1,1,0,0,6.02,0.757,0.121976,0.093841,97.2841,0.508008
0,0,0,0,1,0,1,0,0,1,0,6.98,0.782,0.206329,0.265273,93.8557,0.873341
0,1,0,0,0,1,0,0,0,1,0,4.51,0.633,0.124473,0.167074,94.8066,1.06658
1,0,0,0,0,0,0,1,1,0,0,7.7,0.873,0.17854,0.0653146,88.4846,0.451902
0,1,0,0,0,0,1,0,1,0,0,7.14,0.64,0.459482,1.72903,87.6966,3.46202
0,1,0,0,0,0,1,0,0,1,0,6.51,0.754,0.496582,4.25224,86.5766,4.11334
0,1,0,0,0,0,1,0,1,0,0,6.28,0.819,0.499937,4.82263,87.7558,4.37804
0,0,1,0,0,0,1,0,0,1,0,6.95,0.537,0.639075,1.60841,78.8076,2.50806
0,0,0,0,1,0,1,0,1,0,0,5.65,0.565,0.331088,0.686515,92.6697,1.15485
0,0,1,0,0,0,0,1,0,0,1,5.02,0.782,0.685512,2.38542,71.1858,3.35414
0,0,1,0,0,1,0,0,0,0,1,7.86,0.87,0.132931,0.0716037,88.8526,0.747539
1,0,0,0,0,1,0,0,0,1,0,5.15,0.525,0.130856,0.029124,94.82,0.297828
0,0,0,1,0,0,0,1,0,0,1,5.92,0.895,0.12049,0.0916945,97.2803,0.562896
1,0,0,0,0,1,0,0,1,0,0,4.07,0.737,0.126597,0.0407642,92.9661,0.345292
0,1,0,0,0,0,0,1,0,1,0,7.68,0.646,0.362744,0.840759,88.6051,2.72495
1,0,0,0,0,0,1,0,0,0,1,6.56,0.552,0.356132,0.287973,88.7327,0.713784
0,0,0,1,0,0,0,1,1,0,0,4.55,0.826,0.152081,0.147295,96.953,0.674628
